STATE_FULL,HOSPITAL_NAME,BURN_BEDS
Illinois,AMITA Health Alexian Brothers Medical Center,0.0
Illinois,AMITA Health Mercy Medical Center	,0.0
Illinois,AMITA Health Saint Francis Hospital Evanston,0.0
Illinois,AMITA Health Saint Joseph Hospital	,0.0
Illinois,AMITA Health St. Alexius Medical Center Hoffman Estates,0.0
Illinois,Northwestern Medicine Lake Forest Hospital	,0.0
Illinois,Northwestern Medicine McHenry Hospital,0.0
Illinois,Northwestern Memorial Hospital,0.0
Illinois,Advocate Condell Medical Center	,0.0
Illinois,Advocate Good Samaritan Hospital	,0.0
Illinois,Advocate Good Shepherd Hospital	,0.0
Illinois,Advocate Illinois Masonic Medical Center	,0.0
Illinois,Advocate Lutheran General Hospital,0.0
Illinois,Advocate Sherman Hospital	,0.0
Illinois,Ann & Robert H. Lurie Children's Hospital of Chicago	,0.0
Illinois,Blessing Hospital,0.0
Illinois,Carle BroMenn Medical Center,0.0
Illinois,Carle Foundation Hospital	,0.0
Illinois,Decatur Memorial Hospital	,0.0
Illinois,Edward Hospital	,0.0
Illinois,Elmhurst Memorial Hospital	,0.0
Illinois,UnityPoint Health - Methodist Hospital,0.0
Illinois,UnityPoint Health - Trinity Rock Island,0.0
Illinois,Vista Medical Center East	,0.0
Indiana,Ascension St. Vincent Evansville,0.0
Indiana,Deaconess Midtown Hospital,0.0
Illinois,Memorial Hospital of Carbondale	,0.0
Illinois,Mercyhealth Javon Bea Hospital - Riverside Campus,0.0
Illinois,Morris Hospital & Healthcare Centers,0.0
Illinois,Mount Sinai Hospital	,0.0
Illinois,NorthShore Evanston Hospital,0.0
Illinois,NorthShore Glenbrook Hospital,0.0
Illinois,NorthShore Highland Park Hospital,0.0
Illinois,Northwest Community Healthcare,0.0
Illinois,Northwestern Medicine Central Dupage Hospital	,0.0
Illinois,Northwestern Medicine Delnor Hospital,0.0
Illinois,Northwestern Medicine Huntley,0.0
California,Kaiser Permanente Vacaville Medical Center,0.0
California,Loma Linda University Medical Center/Loma Linda University Children's Hospital,0.0
California,Long Beach Medical Center,0.0
California,Los Robles Hospital and Medical Center,0.0
California,Memorial Medical Center,0.0
California,Mercy Medical Center Redding,0.0
California,Mercy San Juan Medical Center,0.0
California,Natividad Medical Center,0.0
Illinois,OSF St. Francis Medical Center/OSF Children's Hospital of Illinois	,0.0
Illinois,OSF St. Joseph Medical Center	,0.0
Illinois,Presence St. Joseph Medical Center	,0.0
Illinois,Riverside Medical Center,0.0
Illinois,Rush Copley Medical Center	,0.0
Illinois,Silver Cross Hospital	,0.0
Illinois,St. John's Hospital/St. John's Children's Hospital	,0.0
Illinois,SwedishAmerican - A Division of UW Health,0.0
California,Pomona Valley Hospital Medical Center,0.0
California,Providence Holy Cross Medical Center,0.0
California,Providence Mission Hospital,0.0
Kansas,Overland Park Regional Medical Center,0.0
Kansas,Stormont Vail Health,0.0
Kansas,Wesley Healthcare Center/Wesley Children's Hospital,0.0
Kentucky,Norton Children's Hospital,0.0
Kentucky,Pikeville Medical Center,0.0
Kentucky,University of Kentucky Albert B. Chandler Hospital ,0.0
Indiana,Indiana University Health Methodist Hospital,0.0
Indiana,Memorial Hospital of South Bend,0.0
Indiana,Parkview Regional Medical Center,0.0
Iowa,MercyOne Des Moines Medical Center,0.0
Iowa,MercyOne Siouxland Medical Center,0.0
Iowa,UnityPoint Health - Iowa Methodist Medical Center/Blank Children's Hospital,0.0
Louisiana,Our Lady of the Lake Regional Medical Center,0.0
Louisiana,Rapides Regional Medical Center - Alexandria,0.0
Maine,Northern Light Eastern Maine Medical Center,0.0
Maryland,Johns Hopkins Hospital (Johns Hopkins Pediatric Burn Center),0.0
Maryland,Sinai Hospital of Baltimore,0.0
Maryland,Suburban Hospital,0.0
Maryland,University of Maryland Capital Region Medical Center,0.0
Maryland,Walter Reed National Military Medical Center,0.0
Massachusetts,Baystate Medical Center,0.0
Massachusetts,Beth Israel Deaconess Medical Center,0.0
Massachusetts,Boston Children's Hospital,0.0
California,NorthBay Medical Center,0.0
California,Northridge Hospital Medical Center,0.0
California,Palomar Medical Center Escondido,0.0
Colorado,Littleton Adventist Hospital ,0.0
Colorado,Lutheran Medical Center,0.0
Colorado,Medical Center of Aurora ,0.0
Colorado,North Suburban Medical Center,0.0
Colorado,Parker Adventist Hospital,0.0
Colorado,Penrose Hospital,0.0
Michigan,"Ascension Providence Hospital, Southfield Campus",0.0
Michigan,Ascension St. John Hospital,0.0
Michigan,Ascension St. Mary's of Michigan,0.0
Michigan,Beaumont Hospital - Dearborn,0.0
Michigan,Beaumont Hospital - Farmington Hills,0.0
Michigan,Beaumont Hospital - Royal Oak,0.0
Michigan,Beaumont Hospital - Trenton,0.0
Louisiana,Lakeview Regional Medical Center,0.0
Louisiana,North Oaks Medical Center,0.0
Louisiana,Ochsner Lafayette General Medical Center,0.0
Michigan,Mercy Health Saint Mary's,0.0
Massachusetts,Boston Medical Center,0.0
Massachusetts,"Lahey Hospital & Medical Center, Burlington",0.0
Massachusetts,South Shore Hospital,0.0
Massachusetts,St. Luke's Hospital,0.0
Massachusetts,Tufts Medical Center,0.0
Michigan,Ascension Borgess Hospital,0.0
Michigan,Ascension Genesys Hospital,0.0
Connecticut,Yale-New Haven Hospital-Saint Raphael,0.0
Delaware,ChristianaCare,0.0
Delaware,Nemours Children's Hospital ,0.0
District of Columbia,George Washington University Hospital,0.0
District of Columbia,Howard University Hospital,0.0
Florida,Ascension Sacred Heart Bay,0.0
Colorado,Denver Health Medical Center,0.0
Colorado,Good Samaritan Medical Center,0.0
Minnesota ,CentraCare - St. Cloud Hospital,0.0
Minnesota ,Children's Hospital and Clinics of Minnesota,0.0
Minnesota ,Essentia Health St. Mary's Medical Center,0.0
Minnesota ,"Mayo Clinic Hospital, Saint Mary's Campus",0.0
Minnesota ,Mercy Hospital,0.0
Michigan,Beaumont Hospital - Troy,0.0
Michigan,Covenant HealthCare,0.0
Michigan,DMC - Sinai-Grace Hospital,0.0
Michigan,Henry Ford Allegiance Health,0.0
Michigan,Henry Ford Hospital,0.0
Michigan,Henry Ford Macomb Hospital,0.0
Michigan,McLaren Lapeer Region,0.0
Michigan,McLaren Macomb Hospital,0.0
Michigan,McLaren Northern Michigan,0.0
Michigan,McLaren Oakland,0.0
Michigan,Mercy Health Muskegon,0.0
California,Sutter Roseville Medical Center,0.0
Missouri,Cox Medical Center South,0.0
Missouri,Freeman Health System,0.0
Missouri,Liberty Hospital,0.0
Missouri,Mercy Hospital Joplin,0.0
Missouri,Mercy Hospital South,0.0
Michigan,Metro Health - University of Michigan Health,0.0
Michigan,MidMichigan Medical Center-Midland,0.0
Michigan,Munson Medical Center,0.0
Michigan,"Providence Park Hospital, Novi Campus",0.0
Michigan,Sparrow Hospital,0.0
Michigan,St. Joseph Mercy Ann Arbor,0.0
Michigan,St. Joseph Mercy Oakland,0.0
Michigan,St. Mary Mercy Livonia Hospital,0.0
Michigan,UP Health System-Marquette,0.0
Minnesota ,North Memorial Health Hospital,0.0
Minnesota ,St. Luke's Hospital,0.0
Minnesota ,University of Minnesota Medical Center,0.0
Mississippi,Forrest General Hospital,0.0
Mississippi,Memorial Hospital at Gulfport,0.0
Mississippi,North Mississippi Medical Center - Tupelo,0.0
Mississippi,University of Mississippi Medical Center,0.0
Missouri,Centerpoint Medical Center,0.0
Colorado,Sky Ridge Medical Center ,0.0
Colorado,St. Anthony Hospital,0.0
Colorado,St. Mary's Hospital and Medical Center,0.0
Colorado,UCHealth Medical Center of the Rockies,0.0
Colorado,UCHealth Memorial Hospital,0.0
Connecticut,Connecticut Children's Medical Center,0.0
California,Stanford Health Care/Lucile Packard Children's Hospital Stanford,0.0
California,Sutter Health Eden Medical Center,0.0
New Jersey,Morristown Medical Center,0.0
Missouri,Mosaic Life Care at St. Joseph - Medical Center,0.0
Missouri,North Kansas City Hospital,0.0
Missouri,SSM Cardinal Glennon Children's Hospital,0.0
Missouri,SSM Health DePaul Hospital - St. Louis,0.0
Missouri,SSM Health St. Louis University Hospital,0.0
Arizona,Banner Desert Medical Center/Banner Children's at Desert,0.0
Missouri,St. Luke's Hospital of Kansas City,0.0
Missouri,University Health Truman Medical Center,0.0
Montana,Benefis Hospitals,0.0
Montana,Billings Clinic,0.0
Montana,Providence St. Patrick Hospital,0.0
Montana,SCL Health - St. Vincent Healthcare,0.0
Nebraska,Bryan Medical Center West,0.0
Nebraska,CHI Health Creighton University Medical Center - Bergan Mercy,0.0
Nebraska,CHI Health Good Samaritan,0.0
New York,Mid Hudson Regional Hospital of Westchester Medical Center,0.0
New York,Morgan Stanley Children's Hospital of New York-Presbyterian,0.0
Nebraska,Children's Hospital & Medical Center,0.0
Nebraska,Nebraska Medicine - Nebraska Medical Center,0.0
Nebraska,Regional West Medical Center,0.0
Nevada,Renown Regional Medical Center,0.0
New Hampshire,Concord Hospital,0.0
New Hampshire,Dartmouth-Hitchcock Medical Center,0.0
New Hampshire,Elliot Hospital,0.0
New Hampshire,Portsmouth Regional Hospital,0.0
New Jersey,AtlantiCare Regional Medical Center,0.0
New Jersey,Capital Health Regional Medical Center,0.0
New Jersey,Cooper University Health Care,0.0
New Jersey,Hackensack University Medical Center,0.0
New Jersey,Jersey City Medical Center - RWJBarnabas Health,0.0
New Jersey,Jersey Shore University Medical Center,0.0
New York,NewYork Presbyterian Brooklyn Methodist Hospital,0.0
New York,North Shore University Hospital,0.0
New York,Richmond University Medical Center,0.0
New York,South Shore University Hospital (SSUH),0.0
New York,St. Barnabas Hospital,0.0
New Jersey,New Jersey Trauma Center at the University Hospital,0.0
New Jersey,Robert Wood Johnson University Hospital,0.0
New Jersey,St. Joseph's University Medical Center,0.0
New York,Albany Medical Center,0.0
New York,Brookdale Hospital Medical Center,0.0
New York,Cohen Children's Medical Center,0.0
New York,Garnet Health Medical Center,0.0
New York,Good Samaritan Hospital Medical Center,0.0
New York,Jamaica Hospital Medical Center,0.0
New York,John R. Oishei Children's Hospital,0.0
New York,Maimonides Medical Center/Maimonides Children's Hospital,0.0
North Carolina,New Hanover Regional Medical Center,0.0
North Carolina,Vidant Medical Center/Maynard Children's Hospital,0.0
North Carolina,"WakeMed Health & Hospitals, Raleigh Campus",0.0
North Dakota,Altru Health System,0.0
North Dakota,CHI St. Alexius Health Bismarck,0.0
North Dakota,Essentia Health Fargo,0.0
New York,Mount Sinai Morningside,0.0
New York,Mount Sinai South Nassau,0.0
New York,NYC Health + Hospitals / Bellevue Hospital,0.0
New York,NYC Health + Hospitals / Elmhurst,0.0
Arizona,Banner University Medical Center - Phoenix,0.0
New York,NYC Health + Hospitals / Kings County,0.0
New York,NYC Health + Hospitals / Lincoln Medical & Mental Health Center,0.0
New York,NYU Langone Hospital-Brooklyn ,0.0
New York,NYU Langone Hospital-Long Island,0.0
New York,New York-Presbyterian - Queens,0.0
California,Cedar-Sinai Medical Center,0.0
California,Children's Hospital Los Angeles,0.0
California,Children's Hospital of Orange County,0.0
California,Desert Regional Medical Center,0.0
California,Doctors Medical Center,0.0
California,Enloe Medical Center,0.0
California,HCA Regional Medical Center,0.0
California,HCA Riverside Community Hospital,0.0
California,Harbor-UCLA Medical Center,0.0
New York,UHS Wilson Medical Center,0.0
Alabama,Baptist Medical Center South ,0.0
New York,Vassar Brothers Medical Center,0.0
North Carolina,Carolinas Medical Center/Levine Children's Hospital,0.0
North Carolina,Duke University Hospital,0.0
North Carolina,Mission Hospitals,0.0
North Carolina,Moses H. Cone Memorial Hospital,0.0
California,Kaiser Permanente South Sacramento Medical Center,0.0
Ohio,Cleveland Clinic Akron General,0.0
Ohio,Cleveland Clinic Hillcrest Hospital,0.0
Alabama,Huntsville Hospital ,0.0
Ohio,Fairview Hospital,0.0
Ohio,Grant Medical Center,0.0
Ohio,Kettering Health Main Campus,0.0
Ohio,Lima Memorial Health System,0.0
Ohio,Mercy Health - St. Elizabeth Youngstown Hospital,0.0
Ohio,Mercy Health - St. Rita's Medical Center,0.0
Ohio,Mercy Medical Center - Canton,0.0
North Dakota,Sanford Medical Center,0.0
North Dakota,Sanford Medical Center Fargo,0.0
North Dakota,Trinity Health,0.0
Ohio,Aultman Hospital,0.0
Ohio,Cincinnati Children's Hospital Medical Center,0.0
Wisconsin,Aurora BayCare Medical Center,0.0
California,Rady Children's Hospital - San Diego,0.0
California,Riverside University Health System Medical Center,0.0
California,Ronald Reagan UCLA Medical Center,0.0
California,San Joaquin General Hospital,0.0
California,Santa Barbara Cottage Hospital,0.0
Ohio,UH Rainbow Babies and Children's Hospital,0.0
Ohio,University Hospitals Cleveland Medical Center,0.0
