HOSPITAL_NAME,CITY,STATE_FULL,LATITUDE,LONGITUDE,nearest_burn_center,nearest_burn_distance_miles,distance_score
Asante Rogue Regional Medical Center,Medford,Oregon,42.3180196,-122.8304465,Legacy Emanuel Medical Center/Randall Children's Hospital (Oregon Burn Center),223.07700593995105,0.1558284138189761
Peacehealth Sacred Heart Medical Center at RiverBend,Springfield,Oregon,,,,,
Salem Hospital,Salem,Oregon,44.9327095,-123.0339917,Legacy Emanuel Medical Center/Randall Children's Hospital (Oregon Burn Center),45.831116966587956,0.03201490996511683
Legacy Emanuel Medical Center/Randall Children's Hospital (Oregon Burn Center),Portland,Oregon,45.5445548,-122.6701636,Legacy Emanuel Medical Center/Randall Children's Hospital (Oregon Burn Center),0.0,0.0
Oregon Health & Science University/Doernbecher Children's Hospital,Portland,Oregon,45.4995338,-122.685936,Legacy Emanuel Medical Center/Randall Children's Hospital (Oregon Burn Center),3.203022333160064,0.0022374421222841985
Allegheny General Hospital,Pittsburgh,Pennsylvania,40.4569719,-80.0033069,UPMC Mercy (UPMC Mercy Burn Center),1.703482233433331,0.0011899520225593227
UPMC Mercy (UPMC Mercy Burn Center),Pittsburgh,Pennsylvania,40.4363791,-79.9854929,UPMC Mercy (UPMC Mercy Burn Center),0.0,0.0
UPMC Presbyterian,Pittsburgh,Pennsylvania,40.4427264,-79.9606467,UPMC Mercy (UPMC Mercy Burn Center),1.3782225423375178,0.0009627448232823417
Forbes Hospital,Monroeville ,Pennsylvania,40.4289169,-79.7482277,West Penn Hospital Burn Center,10.639432471967968,0.007432078797431793
Reading Hospital - Tower Health,West Reading,Pennsylvania,40.330642,-75.9501711,Lehigh Valley Hospital-Cedar Crest/Lehigh Valley Reilly Children's Hospital (Lehigh Valley Health Network Regional Burn Center),27.73506455248434,0.019374077118212433
UPMC Altoona,Altoona ,Pennsylvania,40.5225127,-78.398237,West Penn Hospital Burn Center,81.44519146584688,0.05689279782929345
