HOSPITAL_NAME,CITY,STATE_FULL,adult_gap_flag,peds_gap_flag,dual_trauma_flag,priority_score
The Queen's Medical Center,Honolulu,Hawaii,1,0,0,2
Tripler Army Medical Center,Honolulu,Hawaii,1,0,0,2
Saint Alphonsus Regional Medical Center,Boise,Idaho,1,0,0,2
St. Luke's Children's Hospital and Regional Medical Center,Boise,Idaho,0,1,0,2
Portneuf Medical Center,Pocatello,Idaho,1,0,0,2
Northwest Community Healthcare,Arlington Heights,Illinois,1,0,0,2
AMITA Health Mercy Medical Center	,Aurora,Illinois,1,0,0,2
Rush Copley Medical Center	,Aurora,Illinois,1,0,0,2
Advocate Good Shepherd Hospital	,Barrington,Illinois,1,0,0,2
MacNeal Hospital	,Berwyn,Illinois,1,0,0,2
OSF St. Joseph Medical Center	,Bloomington,Illinois,1,0,0,2
AMITA Health Adventist Medical Center Bolingbrook	,Bolingbrook,Illinois,1,0,0,2
Memorial Hospital of Carbondale	,Carbondale,Illinois,1,0,0,2
Advocate Illinois Masonic Medical Center	,Chicago,Illinois,1,0,0,2
Ann & Robert H. Lurie Children's Hospital of Chicago	,Chicago,Illinois,0,1,0,2
Mount Sinai Hospital	,Chicago,Illinois,1,0,0,2
Northwestern Memorial Hospital,Chicago,Illinois,1,0,0,2
Decatur Memorial Hospital	,Decatur,Illinois,1,0,0,2
Advocate Good Samaritan Hospital	,Downers Grove,Illinois,1,0,0,2
AMITA Health Saint Joseph Hospital	,Elgin,Illinois,1,0,0,2
Advocate Sherman Hospital	,Elgin,Illinois,1,0,0,2
AMITA Health Alexian Brothers Medical Center,Elk Grove Village,Illinois,1,0,0,2
Elmhurst Memorial Hospital	,Elmhurst,Illinois,1,0,0,2
AMITA Health Saint Francis Hospital Evanston,Evanston,Illinois,1,0,0,2
NorthShore Evanston Hospital,Evanston,Illinois,1,0,0,2
Northwestern Medicine Delnor Hospital,Geneva,Illinois,1,0,0,2
AMITA Health Adventist Medical Center GlenOaks,Glendale Heights,Illinois,1,0,0,2
NorthShore Glenbrook Hospital,Glenview,Illinois,1,0,0,2
NorthShore Highland Park Hospital,Highland Park,Illinois,1,0,0,2
AMITA Health Adventist Medical Center Hinsdale,Hinsdale,Illinois,1,0,0,2
AMITA Health St. Alexius Medical Center Hoffman Estates,Hoffman Estates,Illinois,1,0,0,2
Northwestern Medicine Huntley,Huntley,Illinois,1,0,0,2
Presence St. Joseph Medical Center	,Joliet,Illinois,1,0,0,2
AMITA Health St. Mary's Hospital,Kankakee,Illinois,1,0,0,2
Riverside Medical Center,Kankakee,Illinois,1,0,0,2
AMITA Health Adventist Medical Center La Grange,La Grange,Illinois,1,0,0,2
Northwestern Medicine Lake Forest Hospital	,Lake Forest,Illinois,1,0,0,2
Advocate Condell Medical Center	,Libertyville,Illinois,1,0,0,2
Northwestern Medicine McHenry Hospital,McHenry,Illinois,1,0,0,2
Gottlieb Memorial Hospital,Melrose Park,Illinois,1,0,0,2
Morris Hospital & Healthcare Centers,Morris,Illinois,1,0,0,2
Edward Hospital	,Naperville,Illinois,1,0,0,2
